ADDRESSE ; GEOLOCALISATION ; URL_SITE ; DESCRIPTION
LA GRANDE ARCHE - 1 PARVIS DE LA DEFENSE 92800 PUTEAUX ; ['48.892910', '2.237190']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-37750; DisponibilitéImmédiateLoyer320 € / m²Surface8315 m² (env. 830 postes) divisibles dès 250 m² 
DESKEO LA DEFENSE - 11-13 COURS VALMY 92800 PUTEAUX ; ['48.892195', '2.232162']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-613658; DisponibilitéImmédiateLoyer€ - Nous consulterSurface2000 m² (env. 200 postes) 
SPACES BELVEDERE - 1-7 COURS VALMY 92800 PUTEAUX ; ['48.892197', '2.232162']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-614433; DisponibilitéImmédiateLoyer€ - Nous consulterSurface16846 m² (env. 1680 postes) divisibles dès 10 m² 
7 AVENUE DE CHATEAU DU LOIR - 92400 COURBEVOIE ; ['48.896820', '2.256540']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-619194; DisponibilitéImmédiateLoyer264 € / m²Surface250 m² (env. 30 postes) divisibles dès 100 m² 
5EME AVENUE - 47 RUE LOUIS BLANC 92400 COURBEVOIE ; ['48.889927', '2.251027']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-582652; DisponibilitéImmédiateLoyer340 € / m²Surface5769 m² (env. 580 postes) divisibles dès 354 m² 
70-80 WILSON - 70-80 AVENUE DU GENERAL DE GAULLE 92800 PUTEAUX ; ['48.886975', '2.231185']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-515589; DisponibilitéImmédiateLoyer310 € / m²Surface949 m² (env. 90 postes) 
 - 92800 PUTEAUX ; ['48.884151', '2.236886']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-a-vendre-puteaux-92800-590011; DisponibilitéImmédiateLoyer180 € / m²Prix à la vente€ - Nous consulterSurface1779 m² (env. 180 postes) 
DEFENSE PLAZA - 23-27 RUE DELARIVIERE LEFOULLON 92800 PUTEAUX ; ['48.888990', '2.244133']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-582710; DisponibilitéImmédiateLoyer435 € / m²Surface3676 m² (env. 370 postes) divisibles dès 537 m² 
4BIS RUE FREDERIC PASSY - 92200 NEUILLY SUR SEINE ; ['48.884682', '2.269566']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-a-vendre-neuilly-sur-seine-92200-616847; DisponibilitéImmédiateLoyer350 € / m²Prix à la vente6538 € / m²Surface130 m² (env. 10 postes) 
LA GRANDE ARCHE - 1 PARVIS DE LA DEFENSE 92800 PUTEAUX ; ['48.892910', '2.237190']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-600740; DisponibilitéImmédiateLoyer283 € / m²Surface510 m² (env. 50 postes) 
LE LAFAYETTE - 2 PLACE DES VOSGES 92400 COURBEVOIE ; ['48.893125', '2.247538']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-60511; DisponibilitéImmédiateLoyer340 € / m²Surface5668 m² (env. 570 postes) divisibles dès 300 m² 
NEUILLY FONTAINE - 171BIS AVENUE CHARLES DE GAULLE 92200 NEUILLY SUR SEINE ; ['48.883621', '2.262970']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-neuilly-sur-seine-92200-30084; DisponibilitéImmédiateLoyer€ - Nous consulterSurface1140 m² (env. 110 postes) divisibles dès 180 m² 
LE CAP - 8 RUE FELIX PYAT 92800 PUTEAUX ; ['48.889196', '2.233565']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-a-vendre-puteaux-92800-574255; DisponibilitéImmédiateLoyer370 € / m²Prix à la vente€ - Nous consulterSurface8118 m² (env. 810 postes) divisibles dès 1600 m² 
TOUR ATLANTIQUE - 1-9 PLACE DE LA PYRAMIDE 92800 PUTEAUX ; ['48.889397', '2.242819']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-582707; DisponibilitéImmédiateLoyer400 € / m²Surface3456 m² (env. 350 postes) divisibles dès 860 m² 
39-41 RUE LOUIS BLANC - 92400 COURBEVOIE ; ['48.896820', '2.256540']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-576710; DisponibilitéImmédiateLoyer350 € / m²Surface1065 m² (env. 110 postes) divisibles dès 50 m² 
TOUR EGEE - 15-19 AVENUE DE L'ARCHE 92400 COURBEVOIE ; ['48.898579', '2.238300']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-25789; DisponibilitéImmédiateLoyer430 € / m²Surface7593 m² (env. 760 postes) divisibles dès 1399 m² 
TOUR FRANKLIN - 100-101 TERRASSE BOIELDIEU 92800 PUTEAUX ; ['48.888720', '2.240026']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-532271; Disponibilité1e trim. 2019Loyer383 € / m²Surface3078 m² (env. 310 postes) divisibles dès 1055 m² 
IMAGINE - 20-26 BOULEVARD DU PARC 92200 NEUILLY SUR SEINE ; ['48.892962', '2.264358']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-neuilly-sur-seine-92200-582705; DisponibilitéImmédiateLoyer350 € / m²Surface391 m² (env. 40 postes) 
CAMPUS AVISO - 13-15 RUE JEAN JAURES 92800 PUTEAUX ; ['48.884802', '2.248015']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-531518; DisponibilitéImmédiateLoyer330 € / m²Surface6084 m² (env. 610 postes) divisibles dès 39 m² 
NEUILLY DEFENSE - BELLINI - 20-30 TERRASSE BELLINI 92800 PUTEAUX ; ['48.886639', '2.250630']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-613832; Disponibilité3e trim. 2019Loyer350 € / m²Surface2850 m² (env. 290 postes) 
CARRE MICHELET - 10-12 COURS MICHELET 92800 PUTEAUX ; ['48.888034', '2.246625']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-puteaux-92800-542764; Disponibilité2e trim. 2019Loyer530 € / m²Surface24132 m² (env. 2410 postes) divisibles dès 1341 m² 
TOUR CIEL - 20TER RUE DE BEZONS 92400 COURBEVOIE ; ['48.897766', '2.247521']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-524183; DisponibilitéImmédiateLoyer190 € / m²Surface1083 m² (env. 110 postes) divisibles dès 300 m² 
KWERK TOUR FIRST - 1-2 PLACE DES SAISONS 92400 COURBEVOIE ; ['48.889275', '2.252172']; https://immobilier.jll.fr/location-bureaux/bureaux-a-louer-courbevoie-92400-594215; DisponibilitéImmédiateLoyer240 € / m²Surface3923 m² (env. 390 postes) divisibles dès 10 m² 
